"Date","Open","High","Low","Close","Volume","Adjusted"
2003-01-01,1.92583,1.92583,1.92583,1.92583,0,0.458497
2003-01-02,1.78255,1.96081,1.78255,1.94655,30426286,0.46343
2003-01-03,1.96972,2.02766,1.93853,1.98755,37824278,0.473191
2003-01-06,2.01429,2.05885,1.97864,2.04994,22839170,0.488045
2003-01-07,2.05885,2.05885,1.98309,1.99735,41620931,0.475525
2003-01-08,1.96972,1.99646,1.91625,1.92159,39776208,0.457488
2003-01-09,1.91625,1.98755,1.84494,1.96883,57802680,0.468735
2003-01-10,1.96527,1.992,1.9207,1.94833,41522865,0.463854
2003-01-13,1.97418,2.00092,1.93853,1.95457,36877278,0.46534
2003-01-14,1.95635,1.98309,1.93853,1.9617,33957614,0.467037
2003-01-15,1.98755,2.00537,1.93853,1.94566,47888050,0.463218
2003-01-16,1.94744,1.96081,1.9207,1.94209,31817454,0.462368
2003-01-17,1.93407,1.93407,1.85386,1.86812,38965192,0.444758
2003-01-20,1.86723,1.88059,1.80484,1.8191,21898058,0.433087
2003-01-21,1.8494,1.88059,1.79592,1.80662,43416992,0.430116
2003-01-22,1.80929,1.83603,1.7781,1.80216,33461373,0.429054
2003-01-23,1.83157,1.83603,1.78255,1.78879,26845089,0.425871
2003-01-24,1.78255,1.81375,1.76473,1.77097,41268893,0.421628
2003-01-27,1.7469,1.7469,1.70234,1.70769,28311550,0.406563
2003-01-28,1.72908,1.7469,1.66669,1.68897,34078239,0.402106
2003-01-29,1.68451,1.69343,1.62212,1.68719,40698044,0.401682
2003-01-30,1.72017,1.7469,1.68451,1.7264,38512879,0.411017
2003-01-31,1.69788,1.74245,1.68897,1.71482,25853123,0.40826
2003-02-03,1.73799,1.83157,1.71571,1.81553,56629671,0.432237
2003-02-04,1.80038,1.81821,1.75136,1.75671,47114100,0.418234
2003-02-05,1.76027,1.83603,1.7469,1.83068,37847654,0.435844
2003-02-06,1.80484,1.8494,1.78701,1.79771,38776353,0.427995
2003-02-07,1.81821,1.83603,1.75582,1.8289,44831780,0.43542
2003-02-10,1.80929,1.81821,1.76027,1.77097,29370339,0.421628
2003-02-11,1.80484,1.86277,1.78701,1.85564,33131341,0.441787
2003-02-12,1.82266,1.84494,1.81821,1.82623,20339582,0.434785
2003-02-13,1.80929,1.91179,1.80484,1.88951,50308706,0.44985
2003-02-14,1.91179,1.98309,1.90733,1.96259,43812294,0.467249
2003-02-17,1.97864,1.99646,1.95635,1.99022,23327254,0.473827
2003-02-18,1.92962,1.94298,1.89842,1.93407,65144257,0.460459
2003-02-19,1.91179,1.94744,1.88505,1.89753,28465213,0.45176
2003-02-20,1.91179,1.92516,1.88059,1.89396,51138809,0.45091
2003-02-21,1.88951,1.9207,1.86723,1.91357,24693920,0.455578
2003-02-24,1.93407,1.93407,1.87614,1.88059,19331232,0.447727
2003-02-25,1.85831,1.86723,1.80038,1.83068,27466139,0.435844
2003-02-26,1.85386,1.86277,1.80484,1.80929,32055701,0.430752
2003-02-27,1.83157,1.88059,1.69343,1.86723,67127069,0.444546
2003-02-28,1.85386,1.93407,1.83157,1.91179,28800094,0.455155
2003-03-03,1.93853,1.96081,1.89396,1.90555,32375061,0.453669
2003-03-04,1.90288,1.91625,1.83603,1.83781,25234977,0.437542
2003-03-05,1.83603,1.85831,1.81375,1.83603,17587413,0.437118
2003-03-06,1.84494,1.84494,1.76473,1.76829,21937552,0.420991
2003-03-07,1.72462,1.80038,1.70234,1.78612,38732995,0.425235
2003-03-10,1.79147,1.79147,1.6756,1.67828,50000039,0.399561
2003-03-11,1.69343,1.7068,1.63104,1.64084,55224479,0.390647
2003-03-12,1.64886,1.6756,1.57756,1.5838,37835788,0.377067
2003-03-13,1.61321,1.7068,1.6043,1.70145,35218003,0.405077
2003-03-14,1.7469,1.83157,1.72908,1.82088,48549833,0.433511
2003-03-17,1.76473,1.93853,1.76473,1.92427,47281361,0.458126
2003-03-18,1.94298,1.95635,1.8494,1.85831,50676417,0.442422
2003-03-19,1.86723,1.94298,1.86277,1.92516,38084452,0.458338
2003-03-20,1.91625,1.95635,1.86723,1.8904,37897152,0.450062
2003-03-21,1.92962,1.992,1.90288,1.97596,55659320,0.470432
2003-03-24,1.94298,1.992,1.88951,1.90466,28289115,0.453457
2003-03-25,1.89842,2.00983,1.86723,2.00092,53448012,0.476375
2003-03-26,1.98755,2.01429,1.94298,1.9519,41476330,0.464704
2003-03-27,1.94744,1.9519,1.89842,1.92427,21410667,0.458126
2003-03-28,1.92962,1.93407,1.88059,1.90822,27732920,0.454305
2003-03-31,1.86277,1.87168,1.80038,1.81553,32170489,0.432237
2003-04-01,1.83157,1.89842,1.82266,1.88862,32552101,0.449638
2003-04-02,1.89842,1.96527,1.89842,1.9519,37407445,0.464704
2003-04-03,1.9519,1.992,1.91179,1.93229,37390512,0.460035
2003-04-04,1.9519,1.98755,1.90733,1.93585,23083157,0.460883
2003-04-07,1.99646,2.06331,1.99646,2.033,38313552,0.484012
2003-04-08,2.00983,2.0232,1.98755,2.0125,36874309,0.479131
2003-04-09,1.99646,2.00983,1.94744,1.98131,40199564,0.471706
2003-04-10,1.93853,1.96081,1.91179,1.92516,31071464,0.458338
2003-04-11,1.9519,1.97418,1.92516,1.95279,25429623,0.464916
2003-04-14,1.96527,1.98755,1.93853,1.98309,23066007,0.47213
2003-04-15,1.99646,2.09005,1.992,2.06776,85962063,0.492288
2003-04-16,2.0945,2.11233,2.03657,2.0642,51567282,0.49144
2003-04-17,2.09005,2.09896,2.01874,2.03211,42051909,0.4838
2003-04-18,2.18452,2.18452,2.18452,2.18452,0,0.520086
2003-04-21,2.18452,2.18452,2.18452,2.18452,0,0.520086
2003-04-22,1.96081,2.0232,1.95635,2.01161,27516307,0.808982
2003-04-23,2.04102,2.09896,2.0232,2.0945,42338549,0.842317
2003-04-24,2.09005,2.11678,2.05885,2.06955,26211064,0.832283
2003-04-25,2.08113,2.08113,2.01429,2.01785,17674901,0.811491
2003-04-28,2.00983,2.05439,2.00537,2.04905,24846415,0.824039
2003-04-29,2.06331,2.12124,2.04548,2.07311,29270561,0.833715
2003-04-30,2.05885,2.10341,2.05885,2.07311,25154086,0.833715
2003-05-01,2.16863,2.16863,2.16863,2.16863,0,0.872128
2003-05-02,2.08113,2.08559,2.03657,2.08113,14414503,0.83694
2003-05-05,2.09896,2.13015,2.08559,2.09361,26520525,0.841959
2003-05-06,2.0945,2.11233,2.07222,2.09539,28782647,0.842675
2003-05-07,2.0945,2.11233,2.06331,2.10341,38106662,0.8459
2003-05-08,2.0945,2.10787,2.00537,2.01161,36856878,0.808982
2003-05-09,2.01874,2.04994,1.97864,2.04637,29480771,0.822961
2003-05-12,2.05885,2.06331,1.992,2.03211,26704146,0.817226
2003-05-13,2.04994,2.13015,2.03211,2.0945,80014611,0.842317
2003-05-14,2.0945,2.15689,2.07668,2.1453,65972982,0.862746
2003-05-15,2.15689,2.26384,2.14798,2.25582,97436351,0.907193
2003-05-16,2.27721,2.27721,2.21482,2.22285,40330397,0.893933
2003-05-19,2.21037,2.21037,2.13015,2.13372,39969261,0.858089
2003-05-20,2.13907,2.18809,2.1257,2.16402,34592797,0.870275
2003-05-21,2.1658,2.18809,2.10787,2.11589,57785074,0.850919
2003-05-22,2.13015,2.19254,2.13015,2.18809,33418711,0.879955
2003-05-23,2.21037,2.25493,2.17026,2.2478,57681268,0.903967
2003-05-26,2.24602,2.2683,2.21037,2.21482,18860350,0.890704
2003-05-27,2.21482,2.24156,2.17472,2.22908,31646735,0.896439
2003-05-28,2.26384,2.3396,2.25047,2.32891,51075040,0.936586
2003-05-29,2.31732,2.41536,2.30841,2.4118,56175846,0.969921
2003-05-30,2.40645,2.47329,2.3708,2.4323,65429115,0.978165
2003-06-02,2.4421,2.46884,2.37971,2.38862,24903717,0.960599
2003-06-03,2.37971,2.39754,2.33515,2.37169,38173209,0.95379
2003-06-04,2.39754,2.40199,2.35743,2.39041,36387202,0.961319
2003-06-05,2.40645,2.41536,2.3396,2.36991,42620023,0.953074
2003-06-06,2.37971,2.39308,2.34406,2.35297,33322054,0.946262
2003-06-09,2.33515,2.3708,2.30841,2.31643,30520165,0.931567
2003-06-10,2.2995,2.37525,2.2995,2.36991,35617134,0.953074
2003-06-11,2.39754,2.45993,2.37525,2.45369,64377757,0.986767
2003-06-12,2.49112,2.53123,2.43319,2.4626,58985814,0.99035
2003-06-13,2.44656,2.46884,2.38417,2.39397,29500020,0.962751
2003-06-16,2.3708,2.50449,2.3708,2.49112,36088556,1.00182
2003-06-17,2.5134,2.5446,2.47775,2.49647,49662954,1.003971
2003-06-18,2.49558,2.5847,2.47329,2.58025,64359616,1.037664
2003-06-19,2.5847,2.59807,2.5134,2.52053,57542375,1.013647
2003-06-20,2.53123,2.55351,2.52677,2.53657,35192862,1.020098
2003-06-23,2.52231,2.56242,2.49558,2.50449,34201054,1.007197
2003-06-24,2.49558,2.55797,2.48221,2.54905,34291095,1.025117
2003-06-25,2.5446,2.56688,2.50895,2.53925,24395718,1.021176
2003-06-26,2.5134,2.56242,2.5134,2.53212,24888279,1.018308
2003-06-27,2.55797,2.60253,2.55351,2.57133,32889073,1.034077
2003-06-30,2.55351,2.57133,2.48221,2.48221,26329590,0.998237
2003-07-01,2.48666,2.5134,2.40645,2.4109,45135105,0.969559
2003-07-02,2.45101,2.48221,2.4421,2.46973,29303253,0.993218
2003-07-03,2.49558,2.52231,2.46884,2.50984,36935967,1.009348
2003-07-04,2.50449,2.52231,2.49112,2.50092,18723457,1.005761
